SKU Code,SKU Description,Component Code,Component Description,Base Quantity per 1000 CS,UOM
31377,CCDC  11 FHS White TB + Cap 18,P11230098,CAP 18 (SLIP CAP),1000,PC
31380,Value Age 2+ YHX Red TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC
31381,Value Age 2+YHX BL TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC
31382,Value Age 2+ YHX GN TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC
31387,Value Age 2+ YHX Pk TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC
32135,CC 21 FHM WT/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32136,CC 21 FHM WT/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32137,CC 21 FHM WT/PK TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32138,CC 21 FHM WT/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32320,EC_22RPP_M_BLUE+CAP 19,P11230099,CAP 19 (SLIP CAP),1000,PC
32321,EC_22RPP_M GREEN TB + CAP 19,P11230099,CAP 19 (SLIP CAP),1000,PC
32322,EC_22RPP_M VIOLET TB + CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32323,EC_22RPP_M RED TB + CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32380,PC 22 FHM BL/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32381,PC 22 FHM GN/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32382,PC 22 FHM PK/PK TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32383,PC 22 FHM PU/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32400,TWISTER BASE 23 FHM CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32401,TWISTER BASE 23 FHM CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32402,TWISTER BASE 23 FHM CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32403,TWISTER BASE 23 FHM CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32404,TWISTER BASE 23 FHS CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32405,TWISTER BASE 23 FHS CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32406,TWISTER BASE 23 FHS CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32407,TWISTER BASE 23 FHS CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32420,PRO CUIDADO 22 CHM OR/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32421,PRO CUIDADO 22 CHM PK/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32422,PRO CUIDADO 22 CHM GN/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32423,PRO CUIDADO 22 CHM BL/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32530,Super Flexible 24 FHS WT/BL TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC
32531,Super Flexible 24 FHS WT/GN TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC
