Plan ID,Production Date,Physical Area,Material / SKU Code,Material Description,Machine,Shift,Original Output (CS),Current Output (CS),Source,Status
PLN_SYNC_1,5/19/2026,PKG,FVN50422,PC_22_M,HA0101,1,63360,63360,SYNC,ACTIVE
PLN_SYNC_2,5/19/2026,PKG,61016708,EC_22RPP_M,HA0601,1,49464,49464,SYNC,ACTIVE
PLN_SYNC_3,5/19/2026,PKG,61049730,GC_15_S,HA0601,1,43200,43200,SYNC,ACTIVE
PLN_SYNC_4,5/19/2026,PKG,61059202,EC_22RPP_M,HA0601,1,25920,25920,SYNC,ACTIVE
PLN_SYNC_5,5/19/2026,PKG,61020081,PC_22_M,HA0801,1,58800,58800,SYNC,ACTIVE
PLN_SYNC_6,5/19/2026,PKG,61044940,PRO_22CH_M,HA0901,1,28800,28800,SYNC,ACTIVE
PLN_SYNC_7,5/19/2026,PKG,61049248,TW_23_S,HA0901,1,56136,56136,SYNC,ACTIVE
PLN_SYNC_8,5/19/2026,PKG,61034579,CC_21_S,HA1001,1,53712,53712,SYNC,ACTIVE
PLN_SYNC_9,5/19/2026,PKG,61045427,SF_24RPP_M,HA1001,1,21312,21312,SYNC,ACTIVE
PLN_SYNC_10,5/19/2026,PKG,61009156,AC_17_M,HA1401,1,52704,52704,SYNC,ACTIVE
PLN_SYNC_11,5/19/2026,PKG,61036060,ECGC_24_S,HA1401,1,46080,46080,SYNC,ACTIVE
PLN_SYNC_12,5/19/2026,PKG,61020085,PC_22_M,HA1501,1,106704,106704,SYNC,ACTIVE
PLN_SYNC_13,5/19/2026,PKG,61036852,CC_21_M,HA1602,1,109872,109872,SYNC,ACTIVE
PLN_SYNC_14,5/19/2026,PKG,61053813,PC_22_M,HA1801,1,120000,120000,SYNC,ACTIVE
PLN_SYNC_15,5/19/2026,PKG,61055981,360RE_23NAB_M,KOCH P,1,39600,39600,SYNC,ACTIVE
PLN_SYNC_16,5/19/2026,PKG,61055987,360OW_23_S,KOCH P,1,24552,24552,SYNC,ACTIVE
PLN_SYNC_17,5/19/2026,PKG,VN00643A,GC_15_S,P1PR0001,1,23040,23040,SYNC,ACTIVE
PLN_SYNC_18,5/19/2026,PKG,1050458,CC_21,P1PR0004,1,75600,75600,SYNC,ACTIVE
PLN_SYNC_19,5/19/2026,PKG,155814,K2+_S,Flowrap 02,2,36936,36936,SYNC,ACTIVE
PLN_SYNC_20,5/19/2026,PKG,FVN50422,PC_22_M,HA0101,2,63936,63936,SYNC,ACTIVE
PLN_SYNC_21,5/19/2026,PKG,61049252,CC_21_M,HA0301,2,56448,56448,SYNC,ACTIVE
PLN_SYNC_22,5/19/2026,PKG,1050507,ZZ_25_S,HA0401,2,16200,16200,SYNC,ACTIVE
PLN_SYNC_23,5/19/2026,PKG,61030085,CP_09_S,HA0401,2,10368,10368,SYNC,ACTIVE
PLN_SYNC_24,5/19/2026,PKG,61040862,TW_23_S,HA0401,2,17280,17280,SYNC,ACTIVE
PLN_SYNC_25,5/19/2026,PKG,61040872,TWFH_25_M,HA0401,2,11004,11004,SYNC,ACTIVE
PLN_SYNC_26,5/19/2026,PKG,1050446,PC_22_M,HA0601,2,7200,7200,SYNC,ACTIVE
PLN_SYNC_27,5/19/2026,PKG,61018233,SFBK_25_S,HA0601,2,24840,24840,SYNC,ACTIVE
PLN_SYNC_28,5/19/2026,PKG,61030150,SF_24RPP_S,HA0601,2,43200,43200,SYNC,ACTIVE
PLN_SYNC_29,5/19/2026,PKG,61030644,TA_21_M,HA0601,2,17280,17280,SYNC,ACTIVE
PLN_SYNC_30,5/19/2026,PKG,61049730,GC_15_S,HA0601,2,14760,14760,SYNC,ACTIVE
PLN_SYNC_31,5/19/2026,PKG,61020081,PC_22_M,HA0801,2,50820,50820,SYNC,ACTIVE
PLN_SYNC_32,5/19/2026,PKG,61034581,PC_22_M,HA0901,2,68400,68400,SYNC,ACTIVE
PLN_SYNC_33,5/19/2026,PKG,61044940,PRO_22CH_M,HA0901,2,48000,48000,SYNC,ACTIVE
PLN_SYNC_34,5/19/2026,PKG,61010542,DACC_20_M,HA1001,2,75600,75600,SYNC,ACTIVE
PLN_SYNC_35,5/19/2026,PKG,61045427,SF_24RPP_M,HA1001,2,26208,26208,SYNC,ACTIVE
PLN_SYNC_36,5/19/2026,PKG,61049253,EC_22RPP_S,HA1001,2,5760,5760,SYNC,ACTIVE
PLN_SYNC_37,5/19/2026,PKG,1050528,ZZ_25_M,HA1101,2,69120,69120,SYNC,ACTIVE
PLN_SYNC_38,5/19/2026,PKG,1050587,ZZ_25_S,HA1101,2,49824,49824,SYNC,ACTIVE
PLN_SYNC_39,5/19/2026,PKG,61030119,PC_22_M,HA1201,2,82704,82704,SYNC,ACTIVE
PLN_SYNC_40,5/19/2026,PKG,61020085,PC_22_M,HA1501,2,106560,106560,SYNC,ACTIVE
PLN_SYNC_41,5/19/2026,PKG,61036852,CC_21_M,HA1602,2,109728,109728,SYNC,ACTIVE
PLN_SYNC_42,5/19/2026,PKG,61040908,TWGC_25_S,HA1701,2,48960,48960,SYNC,ACTIVE
PLN_SYNC_43,5/19/2026,PKG,61046408,K5+_TANDY_S,HA1701,2,16416,16416,SYNC,ACTIVE
PLN_SYNC_44,5/19/2026,PKG,61046409,SF_24RPP_S,HA1701,2,12000,12000,SYNC,ACTIVE
PLN_SYNC_45,5/19/2026,PKG,61046922,ZZ_25_S,HA1701,2,16320,16320,SYNC,ACTIVE
PLN_SYNC_46,5/19/2026,PKG,VN00643A,GC_15_S,P1PR0001,2,23040,23040,SYNC,ACTIVE
