Size Type IM,,Name System,,,Size Type TE,,Name System,,,Status,Area,SKU từ BOM,Check mã C từ BOM - còn chạy,Case When Tableau,,Status,Area,Size Type,,Khu Vực,Material,Size Type,,,,Material / SKU Code,SIZE TYPE,PrimaryConvFactor,Status
Material / SKU Code,Size Type,Name SAP,Name Tableau,,Material / SKU Code,Size Type,Name SAP,Name Tableau,,Status,Khu Vực,Material,Material Description,WHEN 'Material / SKU Code' THEN 'Size Type',,Status,Khu Vực,#N/A,,#N/A,,,,,WHEN 'DUMMY' THEN 'Dummy_MyPhuoc_Size',DUMMY,Dummy_MyPhuoc_Size,0,
C0000000007,SKE_PRE_CL_Size,PRE_CL,PRE_CL,,C0000000173,TE_PK_Size,CP_09_S,PK,,C3,IM,C0000000163,Pokey FH White Handle Spec,WHEN 'C0000000007' THEN 'SKE_PRE_CL_Size',,C3,IM,#N/A,,,,,,,WHEN '61046532' THEN 'HA_S1_8PK_320_Size',61046532,HA_S1_8PK_320_Size,320,C5
C0000000109,SKE_VK_PD_Size,VK_PD,VK_PD,,C0000000910,TE_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C3,TE,C0000000173,Pokey FHS White TB,WHEN 'C0000000109' THEN 'SKE_VK_PD_Size',,C3,IM,#N/A,,,,,,,WHEN '61046533' THEN 'HA_S1_8PK_320_Size',61046533,HA_S1_8PK_320_Size,320,C5
C0000000110,SKE_VK_CAR_Size,VK_CAR,VK_CAR,,C0000000911,TE_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C3,IM,C0000002125,Classic Deep Clean11 FH White Handle,WHEN 'C0000000110' THEN 'SKE_VK_CAR_Size',,C3,IM,#N/A,,,,,,,WHEN '32630' THEN 'HA_S1_8PK_8_Size',32630,HA_S1_8PK_8_Size,8,C3
C0000000111,SKE_VK_PC_Size,VK_PC,VK_PC,,C0000000912,TE_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C3,TE,C0000002130,Classic Deep Clean 11 FHS White TB,WHEN 'C0000000111' THEN 'SKE_VK_PC_Size',,C3,IM,#N/A,,,,,,,WHEN '32631' THEN 'HA_S1_8PK_8_Size',32631,HA_S1_8PK_8_Size,8,C3
C0000000114,SKE_DBA_Size,DBA,DBA,,C0000000913,TE_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C3,TE,C0000002485,Value Age 2+ 12 YHX Red TB,WHEN 'C0000000114' THEN 'SKE_DBA_Size',,C3,IM,#N/A,,,,,,,WHEN '61030106' THEN 'HA_S2_5P_60_C_Size',61030106,HA_S2_5P_60_C_Size,60,C3
C0000000115,SKE_TF_Size,TF,TF,,C0000000933,TE_TPA_09_Size,TA_09_S,TPA_09,,C3,TE,C0000002486,Value Age 2+ 12 YHX Blue TB,WHEN 'C0000000115' THEN 'SKE_TF_Size',,C3,IM,#N/A,,,,,,,WHEN '61041206' THEN 'HA_S2_5P_CAP insert_Size',61041206,HA_S2_5P_CAP insert_Size,120,C3
C0000000116,SKE_TF_Size,TF,TF,,C0000000934,TE_TPA_09_Size,TA_09_M,TPA_09,,C3,TE,C0000002487,Value Age 2+ 12 YHX Green TB,WHEN 'C0000000116' THEN 'SKE_TF_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00966A' THEN 'HA_S2_P4+C23_Size',VN00966A,HA_S2_P4+C23_Size,96,C5
C0000000117,SKE_TF_Size,TF,TF,,C0000001016,TE_TPA_09_Size,TA_09_M,TPA_09,,C3,IM,C0000002676,Mid-Tier Age 5+ YHX Blue Handle,WHEN 'C0000000117' THEN 'SKE_TF_Size',,C3,IM,#N/A,,,,,,,WHEN '1051928' THEN 'HA_S2_P4+C_Size',1051928,HA_S2_P4+C_Size,96,C5
C0000000118,SKE_TF_Size,TF,TF,,C0000001017,TE_TPA_09_Size,TA_09_M,TPA_09,,C3,IM,C0000002677,Mid-Tier Age 5+ YHX Green Handle,WHEN 'C0000000118' THEN 'SKE_TF_Size',,C3,IM,#N/A,,,,,,,WHEN '1051929' THEN 'HA_S2_P4+C_Size',1051929,HA_S2_P4+C_Size,96,C5
