Material,Material Description,Component,Component Description,Quantity,UOM,Alternative BOM,BOM Status,Status,Bundle IM & TE,IM,SKE HDL,Bundle TE
31377,CCDC  11 FHS White TB + Cap 18,C0000002130,Classic Deep Clean 11 FHS White TB,1000,PC,1,1,C3,,,,
31377,CCDC  11 FHS White TB + Cap 18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
31380,Value Age 2+ YHX Red TB + Cap 19,C0000002485,Value Age 2+ 12 YHX Red TB,1000,PC,1,1,C3,,,,
31380,Value Age 2+ YHX Red TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
31381,Value Age 2+YHX BL TB + Cap 19,C0000002486,Value Age 2+ 12 YHX Blue TB,1000,PC,1,1,C3,,,,
31381,Value Age 2+YHX BL TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
31382,Value Age 2+ YHX GN TB + Cap 19,C0000002487,Value Age 2+ 12 YHX Green TB,1000,PC,1,1,C3,,,,
31382,Value Age 2+ YHX GN TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
31387,Value Age 2+ YHX Pk TB + Cap 19,C0000003540,Value Age 2+ 12 YHX Pink TB,1000,PC,1,1,C3,,,,
31387,Value Age 2+ YHX Pk TB + Cap 19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32135,CC 21 FHM WT/BL TB+CAP18,C0000009123,Classic Clean 21 WT/BL FHM TB,1000,PC,1,1,C3,,,,
32135,CC 21 FHM WT/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32136,CC 21 FHM WT/GN TB+CAP18,C0000009122,Classic Clean 21 WT/GN FHM TB,1000,PC,1,1,C3,,,,
32136,CC 21 FHM WT/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32137,CC 21 FHM WT/PK TB+CAP18,C0000009121,Classic Clean 21 WT/PK FHM TB,1000,PC,1,1,C3,,,,
32137,CC 21 FHM WT/PK TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32138,CC 21 FHM WT/PU TB+CAP18,C0000009120,Classic Clean 21 WT/PU FHM TB,1000,PC,1,1,C3,,,,
32138,CC 21 FHM WT/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32320,EC_22RPP_M_BLUE+CAP 19,C0000010294,Extra Clean BL/WT 22 FHM RPP TB,1000,PC,1,1,C3,,,,
32320,EC_22RPP_M_BLUE+CAP 19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32321,EC_22RPP_M GREEN TB + CAP 19,C0000010293,Extra Clean GN/WT 22 FHM RPP TB,1000,PC,1,1,C3,,,,
32321,EC_22RPP_M GREEN TB + CAP 19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32322,EC_22RPP_M VIOLET TB + CAP19,C0000010291,Extra Clean PU/WT 22 FHM RPP TB,1000,PC,1,1,C3,,,,
32322,EC_22RPP_M VIOLET TB + CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32323,EC_22RPP_M RED TB + CAP19,C0000010292,Extra Clean PK/WT 22 FHM RPP TB,1000,PC,1,1,C3,,,,
32323,EC_22RPP_M RED TB + CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32380,PC 22 FHM BL/BL TB+CAP18,C0000011454,Premier Clean 22 FHM 7.5MIL BL/WT TB,1000,PC,1,1,C3,,,,
32380,PC 22 FHM BL/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32381,PC 22 FHM GN/GN TB+CAP18,C0000011455,Premier Clean 22 FHM 7.5MIL GN/WT TB,1000,PC,1,1,C3,,,,
32381,PC 22 FHM GN/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32382,PC 22 FHM PK/PK TB+CAP18,C0000011456,Premier Clean 22 FHM 7.5MIL PK/WT TB,1000,PC,1,1,C3,,,,
32382,PC 22 FHM PK/PK TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32383,PC 22 FHM PU/PU TB+CAP18,C0000011457,Premier Clean 22 FHM 7.5MIL PU/WT TB,1000,PC,1,1,C3,,,,
32383,PC 22 FHM PU/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32400,TWISTER BASE 23 FHM CL/BL TB+CAP19,C0000010548,Twister Base 23 FHM CL/BL TB,1000,PC,1,1,C3,,,,
32400,TWISTER BASE 23 FHM CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32401,TWISTER BASE 23 FHM CL/GN TB+CAP19,C0000010549,Twister Base 23 FHM CL/GN TB,1000,PC,1,1,C3,,,,
32401,TWISTER BASE 23 FHM CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32402,TWISTER BASE 23 FHM CL/PK TB+CAP19,C0000010550,Twister Base 23 FHM CL/PK TB,1000,PC,1,1,C3,,,,
32402,TWISTER BASE 23 FHM CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32403,TWISTER BASE 23 FHM CL/OR TB+CAP19,C0000010551,Twister Base 23 FHM CL/OR TB,1000,PC,1,1,C3,,,,
32403,TWISTER BASE 23 FHM CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32404,TWISTER BASE 23 FHS CL/BL TB+CAP19,C0000010544,Twister Base 23 FHS CL/BL TB,1000,PC,1,1,C3,,,,
32404,TWISTER BASE 23 FHS CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32405,TWISTER BASE 23 FHS CL/GN TB+CAP19,C0000010545,Twister Base 23 FHS CL/GN TB,1000,PC,1,1,C3,,,,
32405,TWISTER BASE 23 FHS CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32406,TWISTER BASE 23 FHS CL/PK TB+CAP19,C0000010546,Twister Base 23 FHS CL/PK TB,1000,PC,1,1,C3,,,,
32406,TWISTER BASE 23 FHS CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32407,TWISTER BASE 23 FHS CL/OR TB+CAP19,C0000010547,Twister Base 23 FHS CL/OR TB,1000,PC,1,1,C3,,,,
32407,TWISTER BASE 23 FHS CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32420,PRO CUIDADO 22 CHM OR/BK TB+CAP19,C0000009845,Pro cuidado 22 CHM OR/BK TB,1000,PC,1,1,C5,,,,
32420,PRO CUIDADO 22 CHM OR/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C5,,,,
32421,PRO CUIDADO 22 CHM PK/BK TB+CAP19,C0000009846,Pro cuidado 22 CHM PK/BK TB,1000,PC,1,1,C5,,,,
32421,PRO CUIDADO 22 CHM PK/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C5,,,,
32422,PRO CUIDADO 22 CHM GN/BK TB+CAP19,C0000009847,Pro cuidado 22 CHM GN/BK TB,1000,PC,1,1,C5,,,,
32422,PRO CUIDADO 22 CHM GN/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C5,,,,
32423,PRO CUIDADO 22 CHM BL/BK TB+CAP19,C0000009848,Pro cuidado 22 CHM BL/BK TB,1000,PC,1,1,C5,,,,
32423,PRO CUIDADO 22 CHM BL/BK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C5,,,,
32490,360 Optic White FH Headplate,61038552,CTBM 360 Optic White FH Headplate,0.409,CS,1,1,C3,,,,
32530,Super Flexible 24 FHS WT/BL TB + CAP 18,C0000011200,Super Flexible 24 FHS WT/BL TB,1000,PC,1,1,C5,,,,
32530,Super Flexible 24 FHS WT/BL TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C5,,,,
32531,Super Flexible 24 FHS WT/GN TB + CAP 18,C0000011201,Super Flexible 24 FHS WT/GN TB,1000,PC,1,1,C5,,,,
32531,Super Flexible 24 FHS WT/GN TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C5,,,,
32532,Super Flexible 24 FHS WT/VT TB + CAP 18,C0000011202,Super Flexible 24 FHS WT/VT TB,1000,PC,1,1,C5,,,,
32532,Super Flexible 24 FHS WT/VT TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C5,,,,
32533,Super Flexible 24 FHM WT/BL TB + CAP 18,C0000011197,Super Flexible 24 FHM WT/BL TB,1000,PC,1,1,C5,,,,
32533,Super Flexible 24 FHM WT/BL TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C5,,,,
32534,Super Flexible 24 FHM WT/GN TB + CAP 18,C0000011198,Super Flexible 24 FHM WT/GN TB,1000,PC,1,1,C5,,,,
32534,Super Flexible 24 FHM WT/GN TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C5,,,,
32535,Super Flexible 24 FHM WT/VT TB + CAP 18,C0000011199,Super Flexible 24 FHM WT/VT TB,1000,PC,1,1,C5,,,,
32535,Super Flexible 24 FHM WT/VT TB + CAP 18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C5,,,,
32580,Super Flexible RPP 24 FHS WT/BL TB+CAP18,C0000011513,Super Flexible RPP 24 FHS WT/BL TB,1000,PC,1,1,C3,,,,
32580,Super Flexible RPP 24 FHS WT/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32581,Super Flexible RPP 24 FHS WT/GN TB+CAP18,C0000011514,Super Flexible RPP 24 FHS WT/GN TB,1000,PC,1,1,C3,,,,
32581,Super Flexible RPP 24 FHS WT/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32582,Super Flexible RPP 24 FHS WT/VT TB+CAP18,C0000011515,Super Flexible RPP 24 FHS WT/VT TB,1000,PC,1,1,C3,,,,
32582,Super Flexible RPP 24 FHS WT/VT TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32583,Super Flexible RPP 24 FHM WT/BL TB+CAP18,C0000011510,Super Flexible RPP 24 FHM WT/BL TB,1000,PC,1,1,C3,,,,
32583,Super Flexible RPP 24 FHM WT/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32584,Super Flexible RPP 24 FHM WT/GN TB+CAP18,C0000011511,Super Flexible RPP 24 FHM WT/GN TB,1000,PC,1,1,C3,,,,
32584,Super Flexible RPP 24 FHM WT/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32585,Super Flexible RPP 24 FHM WT/VT TB+CAP18,C0000011512,Super Flexible RPP 24 FHM WT/VT TB,1000,PC,1,1,C3,,,,
32585,Super Flexible RPP 24 FHM WT/VT TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32630,CTBM 360 AFT FH M  8PK_US,C0000010868,360 RMG 23 GN/WT/BL/WT Non AB FHM AFT TB,2000,PC,1,1,C3,,,,
32630,CTBM 360 AFT FH M  8PK_US,C0000010869,360 RMG 23 PU/WT/BL/WT Non AB FHM AFT TB,2000,PC,1,1,C3,,,,
32630,CTBM 360 AFT FH M  8PK_US,C0000010870,360 RMG 23 LBL/WT/BL/WT Non ABFHM AFT TB,2000,PC,1,1,C3,,,,
32630,CTBM 360 AFT FH M  8PK_US,C0000010871,360 RMG 23 DBL/WT/BL/WT Non ABFHM AFT TB,2000,PC,1,1,C3,,,,
32630,CTBM 360 AFT FH M  8PK_US,P11212740,BC 360RE 23 M 8PK 193MM US,1000,PC,1,1,C3,,,,
32630,CTBM 360 AFT FH M  8PK_US,P11220290,PET ROLL 0.4x215mm S1,29.025,KG,1,1,C3,,,,
32630,CTBM 360 AFT FH M  8PK_US,P11251027,STICKER 360RE 23 129x63 ROLLL US,1000,PC,1,1,C3,,,,
32631,CTBM 360 AFT FH S  8PK_US,C0000010864,360 RMG 23 GN/WT/BL/WT Non AB FHS AFT TB,2000,PC,1,1,C3,,,,
32631,CTBM 360 AFT FH S  8PK_US,C0000010865,360 RMG 23 PU/WT/BL/WT Non AB FHS AFT TB,2000,PC,1,1,C3,,,,
32631,CTBM 360 AFT FH S  8PK_US,C0000010866,360 RMG 23 LBL/WT/BL/WT Non ABFHS AFT TB,2000,PC,1,1,C3,,,,
32631,CTBM 360 AFT FH S  8PK_US,C0000010867,360 RMG 23 DBL/WT/BL/WT Non ABFHS AFT TB,2000,PC,1,1,C3,,,,
32631,CTBM 360 AFT FH S  8PK_US,P11212741,BC 360RE 23 S 8PK 193MM US,1000,PC,1,1,C3,,,,
32631,CTBM 360 AFT FH S  8PK_US,P11220290,PET ROLL 0.4x215mm S1,29.025,KG,1,1,C3,,,,
32631,CTBM 360 AFT FH S  8PK_US,P11251027,STICKER 360RE 23 129x63 ROLLL US,1000,PC,1,1,C3,,,,
32641,ZigZag RL 25 FHS AG/BL TB+CAP20,C0000011904,ZigZag RL 25 FHS AG/BL TB,1000,PC,1,1,C3,,,,
32641,ZigZag RL 25 FHS AG/BL TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
32651,ZigZag RL 25 FHS AG/RD TB+CAP20,C0000011906,ZigZag RL 25 FHS AG/RD TB,1000,PC,1,1,C3,,,,
32651,ZigZag RL 25 FHS AG/RD TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
32652,ZigZag RL 25 FHS AG/GN TB+CAP20,C0000011907,ZigZag RL 25 FHS AG/GN TB,1000,PC,1,1,C3,,,,
32652,ZigZag RL 25 FHS AG/GN TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
32653,ZigZag RL 25 FHM AG/BL TB+CAP20,C0000011913,ZigZag RL 25 FHM AG/BL TB,1000,PC,1,1,C3,,,,
32653,ZigZag RL 25 FHM AG/BL TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
32655,ZigZag RL 25 FHM AG/RD TB+CAP20,C0000011915,ZigZag RL 25 FHM AG/RD TB,1000,PC,1,1,C3,,,,
32655,ZigZag RL 25 FHM AG/RD TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
32656,ZigZag RL 25 FHM AG/GN TB+CAP20,C0000011916,ZigZag RL 25 FHM AG/GN TB,1000,PC,1,1,C3,,,,
32656,ZigZag RL 25 FHM AG/GN TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
32657,CTBM Premier GCCC FH S HG6*144 LV2,C0000011323,Gum Clean Charcoal 24 FHS BK/OR TB,3000,PC,1,1,C3,,,,
32657,CTBM Premier GCCC FH S HG6*144 LV2,C0000011321,Gum Clean Charcoal 24 FHS BK/GN TB,3000,PC,1,1,C3,,,,
32657,CTBM Premier GCCC FH S HG6*144 LV2,C0000011322,Gum Clean Charcoal 24 FHS BK/PK TB,3000,PC,1,1,C3,,,,
32657,CTBM Premier GCCC FH S HG6*144 LV2,C0000011320,Gum Clean Charcoal 24 FHS BK/BL TB,3000,PC,1,1,C3,,,,
32657,CTBM Premier GCCC FH S HG6*144 LV2,P11212652,BC GCCC_19 FHS HG S6x2 2PK 42MM + LB TH,6000,PC,1,1,C3,,,,
32657,CTBM Premier GCCC FH S HG6*144 LV2,P11220297,25% PCR 0.4x540 mm HG S6x2 2PK 42MM,35.19,KG,1,1,C3,,,,
32657,CTBM Premier GCCC FH S HG6*144 LV2,P11270106,ELASTIC STAPLE-HANGER-150MM-10KPCS/ROLL,0.1,ROL,1,1,C3,,,,
32658,SF Black RPP 25 FHS BK/BL TB+CAP18,C0000011918,Super Flexible Black RPP 25 FHS BK/BL TB,1000,PC,1,1,C3,,,,
32658,SF Black RPP 25 FHS BK/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32659,SF Black RPP 25 FHS BK/GN TB+CAP18,C0000011919,Super Flexible Black RPP 25 FHS BK/GN TB,1000,PC,1,1,C3,,,,
32659,SF Black RPP 25 FHS BK/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32670,SF Black RPP 25 FHS BK/PU TB+CAP18,C0000011920,Super Flexible Black RPP 25 FHS BK/PU TB,1000,PC,1,1,C3,,,,
32670,SF Black RPP 25 FHS BK/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32671,SF Black RPP 25 FHM BK/BL TB+CAP18,C0000011927,Super Flexible Black RPP 25 FHM BK/BL TB,1000,PC,1,1,C3,,,,
32671,SF Black RPP 25 FHM BK/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32672,SF Black RPP 25 FHM BK/GN TB+CAP18,C0000011928,Super Flexible Black RPP 25 FHM BK/GN TB,1000,PC,1,1,C3,,,,
32672,SF Black RPP 25 FHM BK/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32673,SF Black RPP 25 FHM BK/PU TB+CAP18,C0000011929,Super Flexible Black RPP 25 FHM BK/PU TB,1000,PC,1,1,C3,,,,
32673,SF Black RPP 25 FHM BK/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC,1,1,C3,,,,
32730,TWISTER BASE 25 FHS CL/BL TB+CAP19,C0000011739,Twister Base 25 FHS CL/BL TB,1000,PC,1,1,C3,,,,
32730,TWISTER BASE 25 FHS CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32731,TWISTER BASE 25 FHS CL/GN TB+CAP19,C0000011740,Twister Base 25 FHS CL/GN TB,1000,PC,1,1,C3,,,,
